"filename", "language", "XML", "HTML", "Vue", "JavaScript", "TypeScript", "CSS", "JSON", "SCSS", "comment", "blank", "total"
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\DashboardAdmin.vue", "Vue", 0, 0, -240, 0, 0, 0, 0, 0, -9, -42, -291
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Delete.vue", "Vue", 0, 0, -234, 0, 0, 0, 0, 0, -19, -38, -291
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Edit.vue", "Vue", 0, 0, -365, 0, 0, 0, 0, 0, -21, -54, -440
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\FeedBack.vue", "Vue", 0, 0, -295, 0, 0, 0, 0, 0, -14, -45, -354
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Neural.vue", "Vue", 0, 0, -197, 0, 0, 0, 0, 0, -19, -28, -244
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Official.vue", "Vue", 0, 0, -66, 0, 0, 0, 0, 0, -7, -11, -84
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Pay.vue", "Vue", 0, 0, -127, 0, 0, 0, 0, 0, -7, -25, -159
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\PersonContent.vue", "Vue", 0, 0, -225, 0, 0, 0, 0, 0, -22, -41, -288
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Personalizaion.vue", "Vue", 0, 0, -233, 0, 0, 0, 0, 0, -9, -40, -282
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Slider.vue", "Vue", 0, 0, -227, 0, 0, 0, 0, 0, -27, -22, -276
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Starfield.vue", "Vue", 0, 0, -212, 0, 0, 0, 0, 0, -2, -25, -239
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\config\apiConfig.js", "JavaScript", 0, 0, 0, -22, 0, 0, 0, 0, -4, -8, -34
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\main.ts", "TypeScript", 0, 0, 0, 0, -31, 0, 0, 0, -4, -13, -48
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\router\index.ts", "TypeScript", 0, 0, 0, 0, -61, 0, 0, 0, 0, -3, -64
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\FontStore.ts", "TypeScript", 0, 0, 0, 0, -16, 0, 0, 0, -2, -5, -23
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\counter.ts", "TypeScript", 0, 0, 0, 0, -10, 0, 0, 0, 0, -3, -13
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\passwordStore.ts", "TypeScript", 0, 0, 0, 0, -10, 0, 0, 0, -3, -4, -17
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\themeStore.ts", "TypeScript", 0, 0, 0, 0, -11, 0, 0, 0, 0, -1, -12
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\stores\userStore.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -5, -7, -30
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Auth.js", "JavaScript", 0, 0, 0, -10, 0, 0, 0, 0, 0, -3, -13
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Confirm.js", "JavaScript", 0, 0, 0, -11, 0, 0, 0, 0, 0, -6, -17
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Message.js", "JavaScript", 0, 0, 0, -25, 0, 0, 0, 0, 0, -3, -28
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Request.js", "JavaScript", 0, 0, 0, -91, 0, 0, 0, 0, -11, -15, -117
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Utils.js", "JavaScript", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -21
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\verify.js", "JavaScript", 0, 0, 0, -31, 0, 0, 0, 0, 0, -2, -33
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\SystemManagement.vue", "Vue", 0, 0, -295, 0, 0, 0, 0, 0, -12, -44, -351
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\UserManagement.vue", "Vue", 0, 0, -294, 0, 0, 0, 0, 0, -12, -45, -351
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Framework.vue", "Vue", 0, 0, -85, 0, 0, 0, 0, 0, -3, -14, -102
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\ImageSearch.vue", "Vue", 0, 0, -615, 0, 0, 0, 0, 0, -24, -95, -734
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Login.vue", "Vue", 0, 0, -420, 0, 0, 0, 0, 0, -23, -53, -496
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Profile.vue", "Vue", 0, 0, -383, 0, 0, 0, 0, 0, -12, -40, -435
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\TextSearch.vue", "Vue", 0, 0, -649, 0, 0, 0, 0, 0, -12, -85, -746
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\dialogue.vue", "Vue", 0, 0, -519, 0, 0, 0, 0, 0, -15, -74, -608
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\others.vue", "Vue", 0, 0, -102, 0, 0, 0, 0, 0, 0, -18, -120
"Total", "-", 7, -904, -7106, -212, -157, -565, -275, -165, -393, -1401, -11171
