"filename", "language", "JavaScript", "Vue", "TypeScript", "CSS", "XML", "JSON", "SCSS", "HTML", "comment", "blank", "total"
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Request.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 11, 15, 117
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\Utils.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\utils\verify.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\SystemManagement.vue", "Vue", 0, 297, 0, 0, 0, 0, 0, 0, 13, 44, 354
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\UserManagement.vue", "Vue", 0, 300, 0, 0, 0, 0, 0, 0, 12, 45, 357
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Framework.vue", "Vue", 0, 68, 0, 0, 0, 0, 0, 0, 0, 14, 82
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\ImageSearch.vue", "Vue", 0, 600, 0, 0, 0, 0, 0, 0, 35, 93, 728
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Login.vue", "Vue", 0, 417, 0, 0, 0, 0, 0, 0, 43, 59, 519
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Profile.vue", "Vue", 0, 365, 0, 0, 0, 0, 0, 0, 13, 41, 419
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Test.vue", "Vue", 0, 73, 0, 0, 0, 0, 0, 0, 8, 15, 96
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\TextSearch.vue", "Vue", 0, 627, 0, 0, 0, 0, 0, 0, 18, 83, 728
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\dialogue.vue", "Vue", 0, 495, 0, 0, 0, 0, 0, 0, 8, 69, 572
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\others.vue", "Vue", 0, 63, 0, 0, 0, 0, 0, 0, 1, 15, 79
"Total", "-", 212, 6887, 163, 565, 2, 275, 165, 931, 365, 1448, 11013
